County_Name,State_Name,Number of Bridges,Number of residents,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Roads Acceptable (%)
Brown County,Kansas,257,9810,0.945525292,0.054474708,0,57.5,0,0.883778315
Brown County,Nebraska,55,3020,0.890909091,0.109090909,0,,,0.899117407
Brown County,Minnesota,109,25325,0.963302752,0.036697248,0,41,0,0.850650597
Brown County,Wisconsin,449,256620,0.944320713,0.055679287,1,73.6,0,0.833592818
Brown County,Texas,222,37935,0.981981982,0.018018018,0,50.1,0,0.891372329
Brown County,South Dakota,172,38430,0.86627907,0.13372093,1,82.3,0,0.857210259
Brule County,South Dakota,38,5310,0.921052632,0.078947368,0,27.7,0,0.857210259
Brunswick County,Virginia,149,16575,0.926174497,0.073825503,0,,,0.884284057
Brunswick County,North Carolina,156,119165,0.884615385,0.115384615,0,63,0,0.890560355
Bryan County,Oklahoma,278,44530,0.928057554,0.071942446,0,80.6,0,0.629165553
Bryan County,Georgia,78,34105,1,0,,38.4,7.3,0.967672415
Buchanan County,Virginia,284,23160,0.957746479,0.042253521,0,83.8,0,0.884284057
Buchanan County,Iowa,316,21030,0.905063291,0.094936709,0,27.3,0,0.906330826
Buchanan County,Missouri,250,89415,0.9,0.1,0,42.1,0,0.753229107
Buckingham County,Virginia,71,17030,0.957746479,0.042253521,0,16.5,0,0.884284057
Bucks County,Pennsylvania,669,626220,0.783258595,0.216741405,0,83,49.4,0.714875343
Buena Vista city,Virginia,18,6610,1,0,,2.7,0,0.884284057
Buena Vista County,Iowa,161,20445,0.763975155,0.236024845,0,25.3,0,0.906330826
Buffalo County,Nebraska,463,48400,0.987041037,0.012958963,1,60.9,0,0.899117407
Buffalo County,Wisconsin,242,13255,0.917355372,0.082644628,0,44.2,0,0.833592818
Buffalo County,South Dakota,25,2050,1,0,,,,0.857210259
Bullitt County,Kentucky,97,77725,0.948453608,0.051546392,0,34.9,5.7,0.920222177
Bulloch County,Georgia,138,73140,0.992753623,0.007246377,0,20.9,0,0.967672415
Bullock County,Alabama,138,10550,0.985507246,0.014492754,0,,,0.880672042
Buncombe County,North Carolina,541,250110,0.918669131,0.081330869,1,72.6,0,0.890560355
Bureau County,Illinois,375,33820,0.842666667,0.157333333,0,131.1,40.6,0.807663106
Burke County,North Carolina,227,89080,0.876651982,0.123348018,0,31.9,0,0.890560355
Burke County,North Dakota,29,2240,0.827586207,0.172413793,0,95.7,0,0.933551831
Burke County,Georgia,82,22840,0.987804878,0.012195122,0,64.8,0,0.967672415
Burleigh County,North Dakota,116,90560,0.956896552,0.043103448,1,84,0,0.933551831
Burleson County,Texas,125,17415,0.952,0.048,0,70.7,0,0.891372329
Burlington County,New Jersey,360,450235,0.908333333,0.091666667,0,37.8,20.7,0.529653452
Burnet County,Texas,109,44585,1,0,0,44.2,0,0.891372329
Burnett County,Wisconsin,66,15260,0.96969697,0.03030303,0,,,0.833592818
Burt County,Nebraska,169,6595,0.952662722,0.047337278,0,19.5,0,0.899117407
Butler County,Ohio,377,373640,0.915119363,0.084880637,0,112.8,27.6,0.834323878
